timestamp,activities_added
2020-04-09 10:00:00,1
2020-04-14 15:00:06,1
2020-04-15 17:40:27,1
2020-04-16 10:00:13,3
2020-04-20 10:00:07,1
2020-04-21 10:00:08,1
2020-04-22 10:00:11,3
2020-04-25 10:00:06,1
2020-04-27 10:00:08,1
2020-04-29 10:00:06,1
2020-04-30 10:00:16,3
