,activity_id,zone_type,zone_index,time
251,2091075105,pace,4,1868
252,2091075105,pace,5,558
253,2091075105,pace,6,121
85,2096712118,heartrate,1,33
86,2096712118,heartrate,2,160
87,2096712118,heartrate,3,975
88,2096712118,heartrate,4,1004
89,2096712118,heartrate,5,202
259,2096712118,pace,1,706
260,2096712118,pace,2,109
261,2096712118,pace,3,291
262,2096712118,pace,4,870
263,2096712118,pace,5,372
264,2096712118,pace,6,26
90,2098842528,heartrate,1,119
91,2098842528,heartrate,2,2785
92,2098842528,heartrate,3,959
93,2098842528,heartrate,4,0
94,2098842528,heartrate,5,0
270,2098842528,pace,1,8
271,2098842528,pace,2,3127
272,2098842528,pace,3,650
273,2098842528,pace,4,49
274,2098842528,pace,5,24
275,2098842528,pace,6,7
95,2100772666,heartrate,1,52
96,2100772666,heartrate,2,9
97,2100772666,heartrate,3,380
98,2100772666,heartrate,4,848
99,2100772666,heartrate,5,26
281,2100772666,pace,1,117
282,2100772666,pace,2,122
283,2100772666,pace,3,73
284,2100772666,pace,4,261
285,2100772666,pace,5,269
286,2100772666,pace,6,475
100,2100968638,heartrate,1,77
101,2100968638,heartrate,2,261
102,2100968638,heartrate,3,1772
103,2100968638,heartrate,4,88
104,2100968638,heartrate,5,0
292,2100968638,pace,1,6
293,2100968638,pace,2,1585
294,2100968638,pace,3,585
295,2100968638,pace,4,24
296,2100968638,pace,5,0
297,2100968638,pace,6,0
105,2103793596,heartrate,1,29
106,2103793596,heartrate,2,2
107,2103793596,heartrate,3,33
108,2103793596,heartrate,4,769
109,2103793596,heartrate,5,264
303,2103793596,pace,1,0
304,2103793596,pace,2,0
305,2103793596,pace,3,95
306,2103793596,pace,4,482
307,2103793596,pace,5,457
308,2103793596,pace,6,67
110,2104756352,heartrate,1,57
111,2104756352,heartrate,2,257
112,2104756352,heartrate,3,2513
113,2104756352,heartrate,4,1482
114,2104756352,heartrate,5,0
314,2104756352,pace,1,235
315,2104756352,pace,2,1688
316,2104756352,pace,3,1928
317,2104756352,pace,4,323
318,2104756352,pace,5,112
319,2104756352,pace,6,18
115,2109702664,heartrate,1,30
116,2109702664,heartrate,2,601
117,2109702664,heartrate,3,1042
118,2109702664,heartrate,4,971
119,2109702664,heartrate,5,0
325,2109702664,pace,1,727
326,2109702664,pace,2,191
327,2109702664,pace,3,153
328,2109702664,pace,4,597
329,2109702664,pace,5,745
330,2109702664,pace,6,177
120,2113016252,heartrate,1,49
121,2113016252,heartrate,2,330
122,2113016252,heartrate,3,1126
123,2113016252,heartrate,4,61
124,2113016252,heartrate,5,0
336,2113016252,pace,1,0
337,2113016252,pace,2,413
338,2113016252,pace,3,934
339,2113016252,pace,4,120
340,2113016252,pace,5,30
341,2113016252,pace,6,27
125,2139774036,heartrate,1,155
126,2139774036,heartrate,2,1876
127,2139774036,heartrate,3,484
128,2139774036,heartrate,4,20
129,2139774036,heartrate,5,0
347,2139774036,pace,1,329
348,2139774036,pace,2,1743
349,2139774036,pace,3,336
350,2139774036,pace,4,35
351,2139774036,pace,5,22
352,2139774036,pace,6,66
130,2141978725,heartrate,1,29
131,2141978725,heartrate,2,327
132,2141978725,heartrate,3,746
133,2141978725,heartrate,4,1221
134,2141978725,heartrate,5,0
358,2141978725,pace,1,623
359,2141978725,pace,2,182
360,2141978725,pace,3,121
361,2141978725,pace,4,414
362,2141978725,pace,5,778
363,2141978725,pace,6,205
135,2148824554,heartrate,1,69
136,2148824554,heartrate,2,1366
137,2148824554,heartrate,3,3972
138,2148824554,heartrate,4,564
139,2148824554,heartrate,5,0
369,2148824554,pace,1,154
370,2148824554,pace,2,3229
371,2148824554,pace,3,2310
372,2148824554,pace,4,193
373,2148824554,pace,5,40
374,2148824554,pace,6,48
140,2154903754,heartrate,1,25
141,2154903754,heartrate,2,6
142,2154903754,heartrate,3,814
143,2154903754,heartrate,4,1444
144,2154903754,heartrate,5,19
380,2154903754,pace,1,0
381,2154903754,pace,2,0
382,2154903754,pace,3,224
383,2154903754,pace,4,1437
384,2154903754,pace,5,554
385,2154903754,pace,6,94
145,2160342266,heartrate,1,67
146,2160342266,heartrate,2,1609
147,2160342266,heartrate,3,4518
148,2160342266,heartrate,4,635
149,2160342266,heartrate,5,0
391,2160342266,pace,1,423
392,2160342266,pace,2,3318
393,2160342266,pace,3,2620
394,2160342266,pace,4,366
395,2160342266,pace,5,56
396,2160342266,pace,6,15
150,2165593023,heartrate,1,33
151,2165593023,heartrate,2,381
152,2165593023,heartrate,3,952
153,2165593023,heartrate,4,1225
154,2165593023,heartrate,5,0
402,2165593023,pace,1,707
403,2165593023,pace,2,190
404,2165593023,pace,3,145
405,2165593023,pace,4,436
406,2165593023,pace,5,793
407,2165593023,pace,6,316
155,2174004750,heartrate,1,130
156,2174004750,heartrate,2,763
157,2174004750,heartrate,3,3235
158,2174004750,heartrate,4,651
159,2174004750,heartrate,5,0
413,2174004750,pace,1,90
414,2174004750,pace,2,2074
415,2174004750,pace,3,2002
416,2174004750,pace,4,366
417,2174004750,pace,5,151
418,2174004750,pace,6,75
160,2182456758,heartrate,1,38
161,2182456758,heartrate,2,47
162,2182456758,heartrate,3,710
163,2182456758,heartrate,4,1674
164,2182456758,heartrate,5,58
424,2182456758,pace,1,706
425,2182456758,pace,2,153
426,2182456758,pace,3,161
427,2182456758,pace,4,238
428,2182456758,pace,5,500
429,2182456758,pace,6,767
165,2192270620,heartrate,1,39
166,2192270620,heartrate,2,40
167,2192270620,heartrate,3,483
168,2192270620,heartrate,4,1987
169,2192270620,heartrate,5,0
435,2192270620,pace,1,12
436,2192270620,pace,2,634
437,2192270620,pace,3,1555
438,2192270620,pace,4,291
439,2192270620,pace,5,58
440,2192270620,pace,6,0
170,2201720122,heartrate,1,51
171,2201720122,heartrate,2,404
172,2201720122,heartrate,3,1885
173,2201720122,heartrate,4,3056
174,2201720122,heartrate,5,3
446,2201720122,pace,1,366
447,2201720122,pace,2,2830
448,2201720122,pace,3,1848
449,2201720122,pace,4,342
450,2201720122,pace,5,17
451,2201720122,pace,6,0
175,2206497708,heartrate,1,274
176,2206497708,heartrate,2,1031
177,2206497708,heartrate,3,1904
178,2206497708,heartrate,4,1489
179,2206497708,heartrate,5,12
457,2206497708,pace,1,33
458,2206497708,pace,2,2141
459,2206497708,pace,3,1714
460,2206497708,pace,4,619
461,2206497708,pace,5,162
462,2206497708,pace,6,45
180,2210819544,heartrate,1,94
181,2210819544,heartrate,2,164
182,2210819544,heartrate,3,1934
183,2210819544,heartrate,4,974
184,2210819544,heartrate,5,0
468,2210819544,pace,1,21
469,2210819544,pace,2,961
470,2210819544,pace,3,1556
471,2210819544,pace,4,425
472,2210819544,pace,5,82
473,2210819544,pace,6,17
185,2215144029,heartrate,1,59
186,2215144029,heartrate,2,924
187,2215144029,heartrate,3,1846
188,2215144029,heartrate,4,1033
189,2215144029,heartrate,5,0
479,2215144029,pace,1,274
480,2215144029,pace,2,2125
481,2215144029,pace,3,1189
482,2215144029,pace,4,221
483,2215144029,pace,5,26
484,2215144029,pace,6,30
190,2219169712,heartrate,1,180
191,2219169712,heartrate,2,4194
192,2219169712,heartrate,3,4780
193,2219169712,heartrate,4,5
194,2219169712,heartrate,5,0
490,2219169712,pace,1,1321
491,2219169712,pace,2,7016
492,2219169712,pace,3,808
493,2219169712,pace,4,17
494,2219169712,pace,5,0
495,2219169712,pace,6,0
195,2227172514,heartrate,1,45
196,2227172514,heartrate,2,620
197,2227172514,heartrate,3,1407
198,2227172514,heartrate,4,1739
199,2227172514,heartrate,5,0
501,2227172514,pace,1,187
502,2227172514,pace,2,1417
503,2227172514,pace,3,1524
504,2227172514,pace,4,430
505,2227172514,pace,5,165
506,2227172514,pace,6,0
200,2236525096,heartrate,1,23
201,2236525096,heartrate,2,59
202,2236525096,heartrate,3,510
203,2236525096,heartrate,4,3846
204,2236525096,heartrate,5,827
512,2236525096,pace,1,115
513,2236525096,pace,2,1468
514,2236525096,pace,3,1922
515,2236525096,pace,4,927
516,2236525096,pace,5,457
517,2236525096,pace,6,353
205,2266943099,heartrate,1,169
206,2266943099,heartrate,2,113
207,2266943099,heartrate,3,0
208,2266943099,heartrate,4,0
209,2266943099,heartrate,5,0
523,2266943099,pace,1,224
524,2266943099,pace,2,26
525,2266943099,pace,3,25
526,2266943099,pace,4,4
527,2266943099,pace,5,0
528,2266943099,pace,6,0
210,2271688574,heartrate,1,52
211,2271688574,heartrate,2,371
212,2271688574,heartrate,3,5163
213,2271688574,heartrate,4,4049
214,2271688574,heartrate,5,2457
534,2271688574,pace,1,2451
535,2271688574,pace,2,7770
536,2271688574,pace,3,1824
537,2271688574,pace,4,46
538,2271688574,pace,5,5
539,2271688574,pace,6,0
215,2286702950,heartrate,1,36
216,2286702950,heartrate,2,226
217,2286702950,heartrate,3,1271
218,2286702950,heartrate,4,354
219,2286702950,heartrate,5,5
545,2286702950,pace,1,40
546,2286702950,pace,2,1068
547,2286702950,pace,3,716
548,2286702950,pace,4,48
549,2286702950,pace,5,11
550,2286702950,pace,6,13
220,2339321059,heartrate,1,23
221,2339321059,heartrate,2,373
222,2339321059,heartrate,3,1484
223,2339321059,heartrate,4,368
224,2339321059,heartrate,5,0
556,2339321059,pace,1,176
557,2339321059,pace,2,1520
558,2339321059,pace,3,398
559,2339321059,pace,4,100
