activity_id,split_index,distance,time,elevation_gain,average_speed,max_speed,average_hr,max_hr,average_cadence
2053392135,3,0.80467,184,17.0,15.732000000000001,21.6,149.5,168.0,88.4
2053392135,4,0.25318999999999997,90,7.0,10.116,18.36,153.2,162.0,80.9
2053392135,5,0.80467,182,12.0,15.912,18.0,155.9,168.0,88.1
2053392135,6,0.26589999999999997,90,8.0,10.620000000000001,14.04,151.5,165.0,81.6
2053392135,7,0.80467,186,15.0,15.588000000000001,20.52,160.3,178.0,88.1
2053392135,8,0.26119,90,8.0,10.44,17.28,154.7,168.0,82.0
2053392135,9,0.80467,185,16.0,15.659999999999998,17.64,163.6,172.0,88.6
2053392135,10,0.25908,90,6.0,10.368,13.32,152.8,163.0,81.7
2053392135,11,0.80467,185,23.0,15.659999999999998,18.36,163.8,171.0,88.8
2053392135,12,0.26238,90,5.0,10.512,15.120000000000001,153.1,172.0,82.3
2053392135,13,0.80467,180,11.0,16.092,19.8,165.8,171.0,90.1
2053392135,14,0.25833999999999996,90,7.0,10.332,15.840000000000002,158.2,170.0,82.7
2053392135,15,0.80467,177,16.0,16.38,18.720000000000002,167.2,174.0,90.9
2053392135,16,0.02419,6,0.0,14.508000000000001,15.120000000000001,168.0,168.0,91.0
2056545343,1,1.0,209,12.0,17.208000000000002,24.12,154.3,174.0,92.8
2056545343,2,1.0,217,13.0,16.596,20.52,171.6,181.0,90.5
2056545343,3,1.0,222,13.0,16.2,17.28,178.2,183.0,88.7
2056545343,4,1.0,220,15.0,16.38,18.720000000000002,174.3,184.0,86.7
2056545343,5,0.95362,203,0.0,16.92,18.0,176.3,181.0,87.6
2059084656,1,1.0,318,8.0,11.304,14.4,127.5,136.0,84.3
2059084656,2,1.0,306,34.0,11.772,14.76,139.0,146.0,84.8
2059084656,3,1.0,295,15.0,12.204,13.68,145.7,151.0,83.8
2059084656,4,1.0,303,34.0,11.879999999999999,12.96,146.9,169.0,83.6
2059084656,5,1.0,292,18.0,12.312,14.04,149.2,169.0,83.6
2059084656,6,1.0,288,20.0,12.492,13.68,156.8,166.0,84.0
2059084656,7,1.0,303,23.0,11.879999999999999,13.68,148.0,155.0,83.2
2059084656,8,1.0,338,35.0,10.656,13.32,144.0,155.0,82.9
2059084656,9,1.0,305,21.0,11.808,13.32,148.7,154.0,83.4
2059084656,10,1.0,321,11.0,11.772,13.68,144.6,151.0,82.0
2059084656,11,1.0,294,14.0,12.24,14.04,148.1,160.0,84.1
2059084656,12,1.0,311,26.0,11.592,14.04,146.4,165.0,83.4
2059084656,13,1.0,320,17.0,11.268,14.04,140.0,166.0,81.8
2059084656,14,1.0,332,36.0,11.412,15.120000000000001,145.1,158.0,83.0
2059084656,15,1.0,296,30.0,12.168,14.04,149.0,155.0,82.8
2059084656,16,1.0,308,36.0,11.700000000000001,13.32,156.9,164.0,83.6
2059084656,17,1.0,300,51.0,11.988000000000001,13.68,153.6,159.0,83.2
2059084656,18,0.18618,52,21.0,12.888,14.4,156.9,161.0,83.3
2065105318,1,0.64374,143,14.0,16.2,20.88,148.4,166.0,90.3
2065105318,2,0.14539,60,11.0,8.712,16.92,155.6,160.0,79.8
2065105318,3,0.64374,138,16.0,16.776,21.240000000000002,155.0,163.0,90.5
2065105318,4,0.15153999999999998,60,14.0,9.107999999999999,20.16,159.0,163.0,78.7
2065105318,5,0.64374,141,17.0,16.452,20.88,167.8,181.0,89.0
2065105318,6,0.14527,60,16.0,8.712,18.0,164.3,172.0,78.9
2065105318,7,0.64374,142,22.0,16.308,20.88,168.1,182.0,89.1
2065105318,8,0.14486000000000002,60,12.0,8.676,16.92,167.1,181.0,79.0
2065105318,9,0.64374,141,21.0,16.452,21.96,170.9,182.0,89.0
2065105318,10,0.13921,60,17.0,8.352,19.08,163.7,178.0,78.8
2065105318,11,0.64374,148,24.0,15.659999999999998,19.8,169.7,181.0,87.9
2065105318,12,0.14777,60,15.0,8.856,18.0,163.6,176.0,79.2
2065105318,13,0.64374,147,13.0,15.768,19.44,168.8,176.0,87.8
2065105318,14,0.14366,60,15.0,8.604000000000001,17.64,164.6,175.0,78.6
2065105318,15,0.64374,155,15.0,14.940000000000001,18.0,167.2,174.0,86.8
2065105318,16,0.13593,60,9.0,8.172,16.2,161.2,170.0,79.3
2065105318,17,0.64374,154,18.0,15.048,18.0,165.2,173.0,86.9
2065105318,18,0.13443,60,7.0,8.064000000000002,15.840000000000002,162.4,171.0,78.9
2065105318,19,0.64374,143,22.0,16.2,20.16,169.3,179.0,89.1
2065105318,20,0.01961,4,0.0,17.64,19.08,175.0,175.0,88.7
2067316718,1,1.0,265,7.0,13.572000000000001,16.56,147.3,174.0,87.8
2067316718,2,1.0,261,68.0,13.788,20.16,162.1,175.0,85.8
2067316718,3,1.0,269,33.0,13.392000000000001,15.120000000000001,162.7,169.0,85.6
2067316718,4,1.0,273,58.0,13.176,15.48,164.6,168.0,85.7
2067316718,5,1.0,247,11.0,14.58,16.56,152.3,160.0,86.4
2067316718,6,1.0,267,42.0,13.5,15.48,150.7,158.0,85.6
2067316718,7,1.0,278,28.0,12.96,15.120000000000001,155.8,161.0,85.1
2067316718,8,1.0,273,12.0,13.176,14.76,148.9,151.0,84.8
2067316718,9,1.0,286,20.0,12.6,13.68,150.9,157.0,85.0
2067316718,10,1.0,286,57.0,12.6,14.76,152.1,156.0,85.0
2067316718,11,1.0,297,35.0,12.24,13.68,150.9,160.0,85.4
2067316718,12,1.0,304,39.0,11.844000000000001,14.4,151.7,154.0,84.8
2067316718,13,1.0,294,18.0,12.24,14.04,141.7,155.0,84.6
2067316718,14,1.0,271,7.0,13.32,18.720000000000002,139.4,149.0,85.3
2069646811,1,0.80467,180,23.0,16.092,18.720000000000002,133.3,155.0,91.6
2069646811,2,0.22484,90,13.0,9.0,13.32,147.7,164.0,80.5
2069646811,3,0.80467,175,25.0,16.56,19.8,147.8,157.0,91.0
2069646811,4,0.23253000000000001,90,5.0,9.288,15.840000000000002,146.6,152.0,79.9
2069646811,5,0.80467,174,23.0,16.632,19.08,163.3,172.0,91.5
2069646811,6,0.22654,90,8.0,9.072000000000001,16.56,160.4,171.0,80.7
2069646811,7,0.80467,184,28.0,15.732000000000001,18.36,165.2,175.0,90.3
2069646811,8,0.21597999999999998,90,9.0,8.64,14.76,159.4,170.0,80.5
2069646811,9,0.80467,180,26.0,16.092,21.240000000000002,167.7,181.0,91.1
2069646811,10,0.21550999999999998,90,9.0,8.604000000000001,14.4,154.3,172.0,79.7
2069646811,11,0.80467,185,23.0,15.659999999999998,18.0,166.6,175.0,90.8
