,activity_id,activity_name,activity_type,average_cadence,average_hr,average_speed,distance,elevation_gain,kudos,max_hr,max_speed,start_date,suffer_score,time
0,3131802476,Tuesday intervals (including WU/WD),Run,84.5,153.3,3.507,11244.2,56.2,14,186.0,7.4,2020-02-25T18:34:37Z,69.0,4038
1,3124325868,Morning Run - Welwyn ,Run,81.9,140.3,3.514,9944.3,118.4,10,170.0,5.2,2020-02-23T08:34:33Z,34.0,2830
2,3121033650,Panshanger PR (18:11 - 1st),Run,85.7,173.4,4.49,5006.7,36.2,16,195.0,7.1,2020-02-22T09:02:55Z,58.0,1238
3,3121032425,PR WU,Run,81.0,141.0,3.347,2604.2,2.1,1,158.0,5.3,2020-02-22T08:42:49Z,9.0,778
4,3117367456,Track ,Run,84.0,151.5,3.842,11187.1,0.0,11,185.0,6.7,2020-02-20T18:35:22Z,65.0,3383
5,3111848361,Evening Run - Welwyn ,Run,80.8,136.0,3.304,8769.5,131.5,9,161.0,4.7,2020-02-18T18:06:32Z,22.0,2921
6,3107306152,Morning Run - Welwyn ,Run,82.0,142.5,3.462,11084.2,121.9,8,160.0,6.6,2020-02-17T10:02:33Z,46.0,3207
7,3101510285,Ellenbrook PR (18:23 - 1st),Run,85.6,173.7,4.484,4945.5,12.9,13,192.0,5.5,2020-02-15T09:02:17Z,56.0,1103
8,3096151418,Morning Run - Welwyn ,Run,81.8,142.8,3.511,8657.7,102.8,9,169.0,5.8,2020-02-13T10:56:11Z,36.0,2466
9,3091569134,Tuesday intervals ,Run,83.2,136.2,3.972,13524.2,63.8,18,161.0,6.7,2020-02-11T18:18:12Z,28.0,5342
10,3088899767,Evening Run - Welwyn ,Run,79.7,133.7,3.329,9505.7,144.4,12,161.0,5.3,2020-02-10T19:02:58Z,20.0,2893
11,3085366693,Morning Run - Welwyn ,Run,83.6,145.7,3.534,14592.3,166.2,15,171.0,7.2,2020-02-09T10:13:58Z,69.0,4129
12,3077602109,Track Intervals ,Run,86.5,159.3,4.745,6016.6,0.0,6,181.0,6.5,2020-02-06T18:53:00Z,43.0,1275
13,3073525786,Lunch Run - Panshanger ,Run,83.7,146.3,3.707,5656.8,16.6,11,165.0,5.1,2020-02-05T11:02:31Z,26.0,1531
14,3069206231,Evening Run - Welwyn ,Run,80.6,142.2,3.493,9909.4,101.4,11,167.0,5.1,2020-02-03T19:08:56Z,38.0,2837
15,3064951923,Morning Run - Welwyn ,Run,81.8,153.1,3.736,11399.8,126.1,13,169.0,5.7,2020-02-02T10:53:20Z,76.0,3051
16,3061139289,Ellenbrook PR (17:30 - 1st),Run,86.4,143.9,4.691,4925.3,12.9,15,197.0,5.8,2020-02-01T09:04:39Z,15.0,1050
17,3054456437,Yasso 800’s,Run,84.4,166.6,4.148,8332.9,65.9,12,181.0,6.2,2020-01-29T18:13:25Z,88.0,2009
18,3051948113,Evening Run - Welwyn ,Run,80.6,140.4,3.407,9945.2,152.0,10,171.0,4.8,2020-01-28T19:46:55Z,32.0,2919
19,3044905086,Lunch Run - Welwyn ,Run,83.3,150.9,3.797,10327.0,124.7,11,171.0,5.9,2020-01-26T11:13:17Z,64.0,2741
20,3040924780,Ellenbrook PR (1st - 17:55),Run,86.3,177.2,4.603,4943.3,12.9,15,195.0,6.0,2020-01-25T09:03:48Z,62.0,1074
21,3037443047,Evening Run - Welwyn ,Run,82.4,142.4,3.65,5165.0,66.4,13,169.0,5.2,2020-01-23T19:47:57Z,20.0,1415
22,3031654196,Yasso 800’s,Run,85.1,166.1,4.185,8416.0,65.6,14,181.0,6.9,2020-01-21T19:24:32Z,88.0,2011
23,3028890085,Evening Run - Welwyn ,Run,82.6,143.2,3.696,9363.1,143.2,11,158.0,5.2,2020-01-20T19:51:15Z,36.0,2533
24,3020908369,Ellenbrook PR (17:38 - 2nd) ,Run,86.4,174.4,4.673,4944.5,12.9,16,196.0,7.5,2020-01-18T09:08:17Z,55.0,1058
25,3017615097,Intervals - Hilly 600’s,Run,83.7,154.8,4.016,6521.4,112.8,11,180.0,6.2,2020-01-16T21:02:42Z,46.0,1624
