activity_id,split_average_cadence,split_average_hr,split_average_speed,split_distance,split_elevation_gain,split_index,split_max_hr,split_max_speed,split_time
3107306152,82.1,145.6,3.48,1000,39,3,150,6.6,287
3107306152,82.2,149.9,3.37,1000,58,4,160,4.6,297
3107306152,83.2,149.6,3.44,1000,33,5,158,4.8,291
3107306152,82.8,153.2,3.42,1000,45,6,160,5.8,292
3107306152,81.6,133.9,3.53,1000,4,7,142,4.8,283
3107306152,82.2,137.7,3.47,1000,54,8,148,5.1,288
3107306152,82.2,146.6,3.41,1000,23,9,152,4.8,293
3107306152,82.2,146,3.4,1000,38,10,158,4.9,294
3107306152,81.6,138.3,3.57,1000,16,11,148,5.5,280
3107306152,82.1,141.6,3.51,1000,22,12,152,4.9,285
3107306152,82.9,144.2,3.97,79.37,0,13,147,6.2,20
3101510285,87.1,135.6,4.59,1000,9,1,147,5.5,218
3101510285,85.2,172.7,4.44,1000,20,2,185,5.1,225
3101510285,84.8,185.2,4.35,1000,16,3,189,4.9,230
3101510285,85.2,188.5,4.44,1000,17,4,192,5.1,225
3101510285,85.6,186.9,4.71,946.07,7,5,191,5.2,201
3096151418,80.9,130.2,3.44,1000,22,1,149,4.4,291
3096151418,82,148.8,3.6,1000,26,2,160,5.2,278
3096151418,81.9,152.7,3.56,1000,41,3,169,4.9,281
3096151418,81,140.8,3.52,1000,21,4,148,4.5,284
3096151418,81.6,140.2,3.55,1000,5,5,148,4.6,282
3096151418,82.3,145.7,3.46,1000,21,6,150,4.5,289
3096151418,82.7,147.3,3.42,1000,20,7,151,4.5,292
3096151418,81.9,142.3,3.52,1000,19,8,155,5.1,284
3096151418,81.9,136,3.67,660.22,32,9,151,5.8,180
3091569134,79.4,128.6,3.21,1000,20,1,139,4.6,312
3091569134,80.3,135.6,3.47,1000,33,2,139,4.7,288
3091569134,78.8,136.8,3.48,1000,42,3,146,4.5,362
3091569134,78.7,135.5,3.32,1000,20,4,142,4.4,301
3091569134,83.7,126.8,4.08,1000,14,5,141,6.1,1298
3091569134,86.2,124.9,3.92,1000,14,6,128,6.4,255
3091569134,87,128.3,4.95,1000,7,7,134,6.5,261
3091569134,87.8,134.9,4.9,1000,14,8,144,6.4,276
3091569134,87.6,144,4.85,1000,7,9,154,6.1,270
3091569134,88.2,147.9,4.9,1000,9,10,159,6.7,274
3091569134,88,152.8,5,1000,17,11,161,6.7,262
3091569134,82.4,140.1,3.64,1000,15,12,157,6,755
3091569134,81,140.4,3.66,1000,12,13,145,5,273
3091569134,81.6,133.1,3.59,524.72,15,14,143,4.7,146
3088899767,78.8,127.4,3.29,1000,30,1,138,4.1,304
3088899767,78.9,139.2,3.32,1000,36,2,145,5.3,301
3088899767,79.1,134.9,3.29,1000,47,3,149,4.6,304
3088899767,79.6,142.8,3.27,1000,39,4,161,4.3,328
3088899767,79.4,129.3,3.32,1000,12,5,144,4.4,301
3088899767,80.4,137.8,3.38,1000,50,6,149,4.6,296
3088899767,79.9,133.7,3.38,1000,24,7,147,4.7,296
3088899767,80,128.7,3.31,1000,13,8,145,4.6,302
3088899767,80.8,131.4,3.42,1000,20,9,140,4.7,292
3088899767,81.1,133.3,3.41,507.85,12,10,140,4.6,167
3085366693,83.8,128.4,3.55,1000,9,1,140,4.1,282
3085366693,84.7,144.5,3.6,1000,33,2,157,7.2,278
3085366693,83.9,155.1,3.55,1000,55,3,163,4.4,282
3085366693,84,156.4,3.5,1000,55,4,171,4,286
3085366693,84.1,157.9,3.47,1000,49,5,163,4.5,288
3085366693,83.4,143.3,3.65,1000,17,6,152,4.5,274
3085366693,83.7,142.5,3.5,1000,57,7,159,4,286
3085366693,83.5,142,3.52,1000,13,8,153,4.2,284
3085366693,83.8,144,3.53,1000,17,9,147,4.1,283
3085366693,83.3,147.3,3.34,1000,33,10,154,4.1,299
3085366693,84.1,150.3,3.62,1000,42,11,163,4.1,276
3085366693,83.4,150.9,3.6,1000,19,12,163,4.4,278
3085366693,82.5,138.5,3.53,1000,10,13,157,4,283
3085366693,82.4,139.3,3.6,1000,15,14,147,5.4,278
3085366693,82.7,143.7,3.61,592.32,18,15,149,5.1,164
3077602109,89.1,152.4,5.1,1000,14,1,167,6.5,196
3077602109,86.2,149.5,4.72,1000,22,2,152,6.3,219
3077602109,88.8,150.3,5.12,250.73,3,3,153,6.1,49
3077602109,80.1,161,3.53,204.74,7,4,167,4.8,58
3077602109,87.2,157.3,5,1000,12,5,164,6.3,200
3077602109,87.3,157.6,5.39,37.75,0,6,158,5.2,7
3077602109,79,160.5,3.49,216.17,3,7,163,5,62
3077602109,86.6,159.3,4.95,1000,13,8,163,6.2,202
3077602109,88.2,160.2,4.45,62.24,0,9,161,6.2,14
3077602109,79.4,167.5,3.47,180.26,2,10,176,4.5,52
3077602109,88,176.9,5.13,1000,11,11,181,6.1,195
3077602109,90.8,174.1,6.24,49.94,2,12,175,6.3,8
3077602109,80.4,173.6,1.97,17.7,0,13,175,5,9
3073525786,83.2,134.3,3.39,1000,18,1,144,4.5,295
3073525786,84.5,148.6,3.95,1000,37,2,160,5.1,253
3073525786,83.8,158.4,3.95,1000,11,3,165,4.5,253
3073525786,82.9,144.6,3.82,1000,19,4,156,4.4,262
3073525786,84.3,149.3,3.8,1000,25,5,154,4.4,263
3073525786,84,143.7,3.28,658.99,25,6,157,4.4,201
3069206231,79.9,132,3.39,1000,29,1,147,4.6,295
3069206231,80.2,143.3,3.42,1000,52,2,152,5.1,292
3069206231,80.2,149,3.47,1000,40,3,167,4.6,288
3069206231,80,142.3,3.5,1000,50,4,161,4.4,286
3069206231,80.1,139.4,3.55,1000,39,5,148,4.7,282
3069206231,80.7,144.5,3.52,1000,33,6,149,4.4,284
3069206231,80.9,146,3.45,1000,46,7,152,4.5,290
3069206231,81.2,147.2,3.51,1000,20,8,155,4.6,285
3069206231,80.8,135.2,3.6,1000,11,9,146,4.7,278
3069206231,82.5,142.2,3.64,909.43,26,10,148,4.8,250
3064951923,80,133.3,3.76,1000,18,1,154,4.2,266
3064951923,82.3,156.4,3.82,1000,39,2,165,5.7,262
3064951923,81.4,162.4,3.69,1000,55,3,168,4.6,271
3064951923,82,159.8,3.75,1000,54,4,169,4.3,267
3064951923,81.9,162.2,3.7,1000,63,5,167,4.6,270
3064951923,81.5,146.6,3.88,1000,12,6,157,4.2,258
3064951923,82.4,149.1,3.73,1000,50,7,165,4.3,268
3064951923,82.3,153.8,3.72,1000,17,8,162,4.6,269
3064951923,82.1,156.3,3.73,1000,22,9,160,4.6,268
3064951923,82.5,157,3.66,1000,30,10,162,4.7,273
3064951923,81.6,147.8,3.77,1000,17,11,163,4.9,265
3064951923,82.5,149,3.74,399.83,7,12,155,4.8,107
3061139289,86.6,127.2,4.72,1000,11,1,141,5.3,212
3061139289,87.5,130.6,4.69,1000,10,2,136,5.5,213
3061139289,86.1,138,4.55,1000,15,3,188,5.1,220
3061139289,85,149.8,4.57,1000,13,4,173,5.1,219
3061139289,86.7,178.6,5.04,926.64,4,5,197,5.8,184
3054456437,85.4,149.4,4.57,800,8,1,162,5.6,175
3054456437,79.7,151.5,3.13,282.09,6,2,159,5.2,90
3054456437,85.3,164.2,4.6,800,13,3,176,5.2,174
3054456437,80.2,168,3.03,272.85,0,4,172,5.3,90
3054456437,85.9,168.1,4.57,800,12,5,179,5.1,175
3054456437,79.8,165.3,3.06,275.67,2,6,178,4.7,90
3054456437,86.1,170.6,4.65,800,10,7,176,5.4,172
3054456437,80.1,164.4,3.05,274.35,5,8,172,4.7,90
3054456437,86.4,168.7,4.68,800,9,9,176,5.5,171
3054456437,80.3,165.5,2.97,267.66,0,10,174,4.8,90
3054456437,86.8,172.8,4.65,800,12,11,180,5.5,172
3054456437,80.8,168.7,3.09,278,3,12,175,4.8,90
3054456437,86.5,173.5,4.62,800,7,13,179,5.6,173
3054456437,80.7,166.6,3.03,272.49,3,14,175,5.6,90
3054456437,87.7,174.8,4.91,800,2,15,181,6.2,163
3054456437,89,176,12.66,12.66,0,16,176,5.4,1
3051948113,79.2,128.9,3.48,1000,26,1,146,4.8,287
3051948113,79.6,144.4,3.32,1000,88,2,153,4.3,301
3051948113,79.5,140.1,3.39,1000,43,3,154,3.9,295
3051948113,80.8,154,3.33,1000,57,4,171,3.9,300
3051948113,80.4,137.9,3.48,1000,23,5,153,4.4,287
3051948113,81.4,142.3,3.48,1000,37,6,155,4,287
3051948113,81.4,145.5,3.41,1000,45,7,159,4,293
3051948113,81,140.5,3.44,1000,36,8,155,4,291
3051948113,80.8,132.9,3.41,1000,22,9,143,4.2,293
3051948113,81.6,136.4,3.36,945.17,21,10,142,4.1,281
3044905086,81.2,130.6,3.83,1000,7,1,154,5,282
3044905086,83.4,152.9,3.83,1000,29,2,161,5.9,261
3044905086,82.3,158.9,3.82,1000,71,3,169,5.4,262
3044905086,83.7,158.4,3.69,1000,38,4,168,4.9,271
3044905086,83.8,162.7,3.75,1000,35,5,171,5.4,267
3044905086,83.1,147.8,4.02,1000,17,6,154,5.3,249
3044905086,84,150.1,3.79,1000,71,7,162,5.2,264
3044905086,83.2,150.5,3.76,1000,20,8,160,5.4,266
3044905086,84.3,152.6,3.66,1000,31,9,156,5.3,273
3044905086,83.5,146.8,3.88,1000,12,10,161,5.4,258
3044905086,84.5,148.9,4,327.86,9,11,156,4.8,82
3040924780,87.1,157.2,4.59,1000,15,1,175,5.5,218
3040924780,86.1,173.8,4.46,1000,12,2,186,4.9,224
3040924780,85.7,182.2,4.52,1000,13,3,188,5.1,221
3040924780,85.6,185.7,4.57,1000,11,4,189,5.1,219
