activity_id,activity_name,activity_type,average_cadence,average_hr,average_speed,distance,elevation_gain,kudos,max_hr,max_speed,start_date,suffer_score,time
1901741659,Ellenbrook Park Run (18:12 - 1st),Run,,,4.579,5000,0,8,,0,2018-10-13T08:00:00Z,,1092
1896871823,Evening run - Welwyn ,Run,,,3.987,7706,87.2,7,,5.6,2018-10-10T19:11:33Z,,1933
1891574278,Morning run - Welwyn ,Run,,,3.968,9951.6,130.9,8,,8.2,2018-10-08T08:26:18Z,,2514
1887241249,Ellenbrook Park Run (17:58 - 3rd),Run,,,4.638,5000,0,9,,0,2018-10-06T08:00:00Z,,1078
1882361101,Hatfield 5k Series - Race 3 (17:54 - 28th),Run,,,4.655,5000,0,10,,0,2018-10-03T18:45:00Z,,1074
1877798851,Afternoon Run - Panshanger ,Run,,,3.971,10007.1,126.5,10,,5.8,2018-10-01T16:04:00Z,,2520
1876028417,Evening Run,Run,,,3.833,16048.5,205.2,10,,7.6,2018-09-30T15:43:01Z,,4191
1872555370,Panshanger Park Run (18:05 - 1st),Run,,,4.608,5000,0,12,,0,2018-09-29T08:00:00Z,,1085
1867104614,Afternoon run - Panshanger ,Run,,,4.393,4933.7,52.7,6,,6.2,2018-09-26T15:46:25Z,,1123
1862331364,Morning run - Welwyn ,Run,,,3.814,10000,0,6,,0,2018-09-24T08:20:47Z,,2622
1857902033,Panshanger Park Run (18:19 - 2nd),Run,,,4.55,5000,0,7,,0,2018-09-22T08:00:00Z,,1099
1854532368,Afternoon run - Panshanger,Run,,,3.967,10120.9,126.2,7,,5.6,2018-09-20T15:38:34Z,,2803
1853006370,Hatfield 5k Series - Race 2 (18:16 - 35th),Run,,,4.562,5000,0,9,,0,2018-09-19T18:45:00Z,,1096
1847294196,Morning Run - Welwyn,Run,,,3.922,10000,0,5,,0,2018-09-17T08:24:27Z,,2550
1842987085,Panshanger Park Run (18:12 - 3rd),Run,,,4.579,5000,0,6,,0,2018-09-15T08:00:00Z,,1092
1832956022,Evening Run,Run,,,4.301,4859.7,73.4,6,,6,2018-09-10T19:30:45Z,,1137
1830984968,Evening Run,Run,,167.9,4.038,8093,97,6,190,6.1,2018-09-09T18:49:18Z,85,1998
1826965116,Panshanger Park Run (18:21 - 2nd),Run,,,4.541,5000,0,6,,0,2018-09-08T08:00:56Z,,1101
1821995859,Hatfield 5k series - Race 1 (17:55 - 32nd),Run,,,4.651,5000,0,10,,0,2018-09-05T18:45:13Z,,1075
1817344422,Evening Run,Run,,169.9,4.339,4903.3,58,5,178,7,2018-09-03T19:14:06Z,55,11270
3137118618,Track ,Run,83.3,141.8,3.59,9853.8,0.0,17,178.0,6.5,2020-02-27T18:32:52Z,36.0,3279
3140850827,PR WU,Run,81.3,134.3,3.185,2672.1,0.0,4,146.0,4.5,2020-02-29T08:41:27Z,4.0,842
3140853012,Panshanger PR (19:10 - 1st),Run,84.7,159.7,4.346,5015.0,39.1,17,183.0,5.8,2020-02-29T09:01:43Z,38.0,1154
3147112086,Morning Run - Welwyn ,Run,80.9,142.7,3.434,9086.2,152.8,17,170.0,6.4,2020-03-02T07:07:13Z,38.0,2646
3151516748,Tuesday intervals ,Run,84.0,147.9,3.195,9667.3,62.2,19,181.0,6.5,2020-03-03T18:36:28Z,47.0,4695
3157172164,Track ,Run,81.8,147.6,3.613,9678.1,0.0,10,182.0,6.8,2020-03-05T18:30:15Z,50.0,3241
3164583613,Morning Run - Welwyn ,Run,81.0,141.6,3.451,16467.0,182.6,18,165.0,5.6,2020-03-08T08:14:42Z,66.0,4772
3168044859,Morning Run - Panshanger ,Run,80.2,141.2,3.551,7162.5,18.8,11,155.0,4.8,2020-03-09T10:21:32Z,25.0,2023
