activity_id,heartrate_zone_1_time,heartrate_zone_2_time,heartrate_zone_3_time,heartrate_zone_4_time,heartrate_zone_5_time,pace_zone_1_time,pace_zone_2_time,pace_zone_3_time,pace_zone_4_time,pace_zone_5_time,pace_zone_6_time
2484914850,9,19,141,288,651,0,0,12,785,288,23
2480188898,35,114,573,3100,124,422,2414,944,115,43,8
2477476969,22,106,635,1015,8,443,136,189,314,525,179
2474148341,30,231,1000,48,0,21,412,790,71,14,1
2466656675,12,275,1267,1042,0,411,1828,315,42,0,0
2458386146,17,15,186,1629,487,27,248,879,641,316,223
2455658821,40,432,2101,185,0,129,1897,544,97,79,12
2447734267,37,215,1682,813,0,79,1670,942,35,19,2
2439928705,19,16,461,1673,236,0,25,1305,824,188,63
2435850487,17,1662,647,0,0,354,1705,173,45,43,6
2429188828,55,934,2226,711,2,413,2298,983,171,42,21
2426588529,14,57,506,1202,6,422,141,82,460,538,142
2423668488,24,1812,1609,0,0,292,2671,430,45,7,0
2417394320,18,34,360,1104,182,396,187,167,194,233,521
2412534300,25,52,228,926,1489,56,1552,1016,79,17,0
2410135380,26,216,1866,657,0,89,1793,822,50,10,0
2404936403,0,204,483,663,162,386,95,165,259,307,300
2355889365,21,1153,1091,146,0,911,1233,197,63,7,0
2352290179,0,0,0,0,0,24,1424,1126,86,20,21
2346118247,0,0,0,0,0,2414,287,0,0,0,0
2339321059,44,478,1874,310,0,19,1438,1103,74,64,8
2286702950,14,541,1443,247,0,176,1520,398,100,51,0
2271688574,23,413,1327,133,0,40,1068,716,48,11,13
2266943099,17,709,6796,2236,2338,2451,7770,1824,46,5,0
2236525096,20,260,0,0,0,224,26,25,4,0,0
2227172514,20,70,680,4340,132,115,1468,1922,927,457,353
2219169712,27,817,2039,840,0,187,1417,1524,430,165,0
2215144029,41,4885,4233,3,0,1321,7016,808,17,0,0
2210819544,36,1203,1997,629,0,274,2125,1189,221,26,30
2206497708,67,198,2666,131,0,21,961,1556,425,82,17
2201720122,36,1300,2357,1009,12,33,2141,1714,619,162,45
2192270620,22,620,2546,2215,0,366,2830,1848,342,17,0
2182456758,33,59,1086,1372,0,12,634,1555,291,58,0
2174004750,29,88,943,1436,29,706,153,161,238,500,767
2165593023,63,1231,3157,307,0,90,2074,2002,366,151,75
2160342266,21,463,1190,913,0,707,190,145,436,793,316
2154903754,49,2403,3994,352,0,423,3318,2620,366,56,15
2148824554,23,11,991,1284,0,0,0,224,1437,554,94
2141978725,36,1869,3787,282,0,154,3229,2310,193,40,48
2139774036,26,384,1216,697,0,623,182,121,414,778,205
2113016252,22,2218,286,6,0,329,1743,336,35,22,66
2109702664,4,466,1012,42,0,0,413,934,120,30,27
2104756352,20,659,1580,331,0,727,191,153,597,745,177
2103793596,17,350,3125,813,0,235,1688,1928,323,112,18
2100968638,27,5,119,864,86,0,0,95,482,457,67
2100772666,16,483,1701,0,0,6,1585,585,24,0,0
2098842528,24,10,569,711,3,117,122,73,261,269,475
2096712118,28,3421,416,0,0,8,3127,650,49,24,7
2091075105,22,282,1103,897,70,706,109,291,870,372,26
2085495854,16,20,240,3489,0,0,6,1212,1868,558,121
2083529066,26,361,1860,74,0,652,150,75,689,637,118
2081062871,30,2510,1092,51,0,397,2579,623,54,30,0
2075332277,26,465,705,813,5,525,126,113,262,560,428
2072553836,24,19,200,1931,140,0,114,741,917,294,248
2069646811,24,4,143,784,125,0,0,79,391,419,191
2067316718,22,741,817,491,0,589,129,92,539,625,97
2065105318,16,2182,1667,16,0,259,2543,1012,59,8,0
2059084656,20,126,1163,693,0,557,96,123,231,530,465
2056545343,67,4256,933,0,0,2224,2908,69,1,0,54
2053392135,15,42,260,757,0,0,0,0,355,523,196
2051319403,153,632,1166,154,0,547,164,174,775,439,6
2045210201,28,2268,1575,25,0,456,2131,1249,60,0,0
2041484077,233,227,616,666,0,595,78,33,543,373,120
2038868398,21,28,167,629,221,0,0,0,335,550,181
2035993054,35,479,1612,328,0,20,1348,975,91,20,0
2028511938,17,139,669,783,0,264,100,100,219,316,609
2001078643,0,508,804,41,1171,145,1488,734,104,26,27
1985636421,0,550,0,0,620,26,29,706,350,59,0
1980625275,51,286,779,1015,370,16,717,1351,383,34,0
1969249469,0,143,1868,370,125,0,430,1965,111,0,0
1958284547,0,0,0,0,0,0,2,166,733,200,17
1947565210,0,0,0,0,0,638,3538,1021,175,109,112
1920356845,0,0,0,0,0,45,1310,1834,682,142,0
1915631994,0,0,0,0,0,0,407,1365,532,155,22
1910670406,0,0,0,0,0,0,133,1242,653,286,93
1896871823,0,0,0,0,0,0,33,224,285,330,258
1891574278,0,0,0,0,0,0,384,1032,295,111,111
1877798851,0,0,0,0,0,39,733,916,447,203,170
1876028417,0,0,0,0,0,0,551,1045,416,254,254
1867104614,0,0,0,0,0,85,1823,1368,389,318,204
1854532368,0,0,0,0,0,0,5,233,282,333,270
1830984968,0,0,0,0,0,0,0,0,0,0,0
1817344422,0,169,1175,373,256,0,0,0,0,0,0
3137118618,424,1536,436,103,0,1064,146,38,15,92,1144
3140850827,21,820,0,0,0,485,356,0,0,0,0
3140853012,18,422,385,329,0,0,23,301,453,250,127
3147112086,179,1899,567,1,0,702,1298,529,63,44,10
3151516748,71,1671,611,201,0,939,617,204,69,31,693
3157172164,311,1117,995,244,0,1329,320,97,44,48,828
3164583613,215,4181,376,0,0,845,3181,702,36,8,0
3168044859,39,1955,23,0,0,318,1283,416,0,0,0
