activity_id,temp,wind_speed,weather
2907026370,0.87,2.53,clear-night
2916423121,1.97,2.52,clear-night
2916469944,5.08,4.01,partly-cloudy-day
2920069069,9.14,8.89,clear-day
2924872773,8.69,8.94,rain
2928920339,7.09,6.09,rain
2931498218,3.86,7.02,clear-day
2946215645,7.61,5.14,rain
2949150873,6.58,5.91,cloudy
2954988988,2.88,3.26,clear-day
2956884370,4.68,6.62,cloudy
2961763437,5.67,3.13,cloudy
2972222569,-0.04,1.06,clear-day
2983999775,5.42,4.22,cloudy
2988437720,7.29,4.37,partly-cloudy-night
2991334300,11.85,7.95,cloudy
2996991528,6.97,3.91,rain
3004106991,9.16,8.25,partly-cloudy-day
3011745332,12.49,13.0,rain
3015296035,5.96,5.71,clear-night
3017615097,10.49,8.84,rain
3020908369,1.41,3.55,clear-day
3028890085,1.47,1.79,clear-night
3031654196,1.24,1.92,partly-cloudy-night
3037443047,5.29,1.14,cloudy
3040924780,2.5,2.31,partly-cloudy-day
3044905086,8.65,6.45,cloudy
3051948113,3.96,6.56,partly-cloudy-night
3054456437,6.78,5.39,cloudy
3061139289,8.45,8.01,cloudy
3064951923,10.7,8.85,cloudy
3069206231,6.93,4.82,cloudy
3073525786,4.89,1.27,partly-cloudy-day
3077602109,3.19,1.76,clear-night
3085366693,11.12,15.97,rain
3088899767,4.35,7.85,cloudy
3091569134,4.21,8.67,clear-night
3096151418,6.69,6.11,rain
3101510285,10.32,9.76,rain
3107306152,5.68,8.32,clear-day
3111848361,7.67,7.97,cloudy
3117367456,4.33,6.96,partly-cloudy-night
3121032425,11.65,10.59,wind
3121033650,11.75,10.65,wind
3124325868,12.23,12.2,rain
3131802476,2.91,4.57,rain
3134814172,4.09,4.15,partly-cloudy-night
3137118618,3.51,5.16,clear-night
3140850827,5.5,8.04,rain
3140853012,5.27,7.77,rain
3147112086,3.82,3.38,cloudy
3151516748,6.4,4.23,partly-cloudy-night
3157172164,4.6,6.96,rain
3164583613,8.71,8.48,partly-cloudy-day
3168044859,8.46,6.7,partly-cloudy-day
3192421487,10.86,6.46,cloudy
3195481075,11.43,3.24,cloudy
